b0733,b0764,b2424,1
b1096,b2918,b4039,1
b0785,b1761,b3212,1
b0764,b0996,b2422,1
b2551,b3831,b4388,1
b0516,b2414,b2421,1
b0474,b1207,b4131,1
b0402,b1849,b2500,1
b1779,b2033,b3732,1
b0474,b0841,b4094,1
b1849,b2500,b2779,1
b1622,b1759,b3008,1
b1190,b4034,b4053,1
b0452,b0723,b0954,1
b0604,b0765,b2422,1
b0630,b1622,b3008,1
b0485,b1779,b3733,1
b1517,b3117,b3772,1
b0002,b0855,b3940,1
b0907,b2179,b2551,1
b0452,b0954,b1661,1
b0199,b3608,b3926,1
b0078,b3670,b3892,1
b1363,b1682,b2528,1
b0126,b0339,b0630,1
b0078,b3528,b3671,1
b1779,b3733,b4130,1
b0073,b1800,b3962,1
b0078,b2796,b3670,1
b2508,b2868,b3061,1
b0118,b1276,b2091,1
b0954,b2721,b3846,1
b2465,b2935,b3437,1
b1622,b2485,b3008,1
b1622,b2253,b3008,1
b0862,b2926,b3732,1
b0763,b0963,b2423,1
b2926,b3731,b4129,1
b0844,b3812,b4041,1
b1090,b4041,b4111,1
b2784,b2926,b3734,1
b2842,b2926,b3737,1
b2143,b2436,b3867,1
b0388,b1992,b3390,1
b1485,b1681,b2528,1
b3059,b3374,b4041,1
b1190,b3727,b4053,1
b0979,b2508,b2868,1
b0652,b2708,b3197,1
b0870,b1814,b2320,1
b0954,b2836,b3789,1
b0126,b0339,b0425,1
b0155,b1592,b2976,1
b1679,b2528,b4381,1
b0765,b2424,b3476,1
b0765,b2422,b3336,1
b1682,b2528,b3580,1
b1378,b3653,b3924,1
b1106,b2926,b3733,1
b1779,b3737,b4208,1
b0149,b2091,b3396,1
b0070,b0764,b2424,1
b0766,b0870,b0907,1
b2297,b2508,b2866,1
b1849,b2500,b2508,1
b1207,b2035,b4383,1
b0651,b1378,b3924,1
b0118,b1276,b2293,1
b1683,b1779,b2528,1
b0474,b0854,b4094,1
b1190,b1590,b4053,1
b0092,b0381,b0856,1
b0870,b1681,b2528,1
b1533,b1684,b2528,1
b1684,b2529,b3785,1
b0763,b2422,b2788,1
b1681,b2529,b2810,1
b0388,b3091,b3390,1
b0388,b3390,b3787,1
b0118,b0819,b1276,1
b1779,b2424,b3731,1
b1992,b3117,b3772,1
b0474,b3880,b4094,1
b0805,b2708,b3197,1
b0931,b1779,b3734,1
b0339,b0765,b2423,1
b0577,b2436,b3867,1
b0723,b0763,b2422,1
b0764,b1511,b2424,1
b0335,b2465,b2935,1
b2508,b2868,b3409,1
b1682,b2528,b3624,1
b0308,b2551,b4388,1
b0155,b0238,b2508,1
b0928,b4054,b4230,1
b1679,b2528,b3772,1
b1761,b2287,b3212,1
b0764,b2423,b3622,1
b0452,b0954,b1378,1
b1683,b2528,b2925,1
b0078,b1377,b3670,1
b0155,b1592,b1927,1
b0954,b3846,b3918,1
b1680,b1771,b2528,1
b1727,b1817,b3608,1
b1600,b1684,b2529,1
b1681,b1813,b2529,1
b1190,b1704,b4053,1
b1680,b2307,b2528,1
b0856,b1682,b2528,1
