b0181,b2705,b3962,1
b2041,b3870,b3951,1
b1449,b2277,b2400,1
b2943,b3551,b3607,1
b0025,b2167,b2323,1
b0243,b0402,b4261,1
b0750,b1225,b1528,1
b2503,b2750,b3058,1
b0072,b1489,b4231,1
b0621,b2615,b4208,1
b0428,b1131,b3003,1
b2747,b2904,b2976,1
b0624,b2258,b3730,1
b0657,b1113,b3199,1
b0133,b3266,b4237,1
b0522,b1737,b2097,1
b0522,b3429,b3846,1
b0414,b2752,b4071,1
b0004,b1686,b3943,1
b1638,b1679,b2827,1
b0810,b2148,b4261,1
b2306,b3196,b4513,1
b0182,b0431,b0874,1
b0516,b2515,b3941,1
b0173,b1623,b2965,1
b1539,b1800,b3939,1
b2472,b3126,b3904,1
b3161,b3809,b3833,1
b0096,b2482,b2996,1
b1236,b3496,b3770,1
b1012,b3805,b4169,1
b1094,b3571,b3787,1
b0414,b1326,b2925,1
b1744,b3196,b3917,1
b2780,b3089,b3480,1
b0524,b2251,b4254,1
b1991,b2177,b3997,1
b2557,b2587,b4485,1
b1819,b2104,b3058,1
b1812,b2920,b3941,1
b1277,b3200,b3664,1
b2481,b3201,b3359,1
b0074,b1723,b2750,1
b0614,b2838,b3996,1
b0757,b1920,b3729,1
b0104,b3553,b4262,1
b1918,b3804,b4374,1
b2286,b3941,b4111,1
b0171,b0414,b0420,1
b0612,b1243,b3967,1
b0306,b3737,b4006,1
b1588,b2010,b2023,1
b0726,b2476,b2722,1
b1654,b1655,b4177,1
b2155,b3997,b4267,1
b0854,b2762,b3600,1
b0341,b1819,b2316,1
b0418,b3172,b3488,1
b0071,b1261,b3605,1
b0090,b3670,b4242,1
b0423,b0517,b2924,1
b0086,b0341,b0677,1
b0728,b0811,b2827,1
b0032,b1021,b3176,1
b0074,b2492,b4079,1
b0090,b0523,b3588,1
b0915,b2200,b2529,1
b0242,b1605,b2156,1
b0605,b3447,b3991,1
b0678,b1264,b4141,1
b1198,b1260,b3172,1
b0003,b1854,b1985,1
b0936,b2917,b3642,1
b3634,b3945,b4214,1
b0179,b1856,b2148,1
